;INTERVALO ESPECIFICO DE B2B GPON E SITE ERB;;;;;;;;;;;;; $4 392 463,82 ;;
ID OBRA;ID CLIENTE;CLIENTE;RESPONSÁVEL TÉCNICO;ARMÁRIO/Site/Endereço;SISTEMA VIVO;STATUS VIVO;TIPO DA OBRA;ID SAM;STATUS SAM;Descrição CR GPS;EXECUTOR;STATUS ATIVIDADE NO CAMPO; OS; VALORES;COMPETÊNCIA;
527515;;;;VICTOR;OSP Control;Draft - Enviado para a Fila Staff Projetos;MANUTENÇÃO PREVENTIVA CTA;29818;SAM - AGUARDANDO FATURAMENTO;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);FATURAMENTO OBERDAN;Atividade Concluida no campo ;OS não gerada; $192 733,34 ;01/12/2024;
2566306;;;;PRCTA_O1C18;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;29442;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);ACÁCIA TELECOM;Atividade Concluida no campo ;Não se aplica; $18 157,75 ;31/10/2024;
2595830;;;;PRCTA_G1M08;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;29763;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);ACÁCIA TELECOM;Atividade Concluida no campo ;Não se aplica; $9 140,87 ;31/10/2024;
2585637;;;;PRCTA_G1M09;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;29738;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);ACÁCIA TELECOM;Atividade Concluida no campo ;Não se aplica; $4 166,66 ;30/10/2024;
2585638;;;;PRCTA_G1M10;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;29749;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);ACÁCIA TELECOM;Atividade Concluida no campo ;Não se aplica; $20 980,03 ;31/10/2024;
2591568;;;;PRCTA_G1M11;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;29774;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);ACÁCIA TELECOM;Atividade Concluida no campo ;Não se aplica; $8 184,05 ;31/10/2024;
2597191;;;;PRCTA_G1M98;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;29761;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $3 014,77 ;01/10/2024;
2602001;;;;PRCTA_G1N95;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;29976;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $3 567,10 ;01/10/2024;
2597194;;;;PRCTA_GI37;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;29770;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $9 640,04 ;31/10/2024;
2601818;;;;PRCTA_G1I67;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;29970;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $10 388,52 ;31/10/2024;
2601811;;;;PRCTA_G1I69;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;29973;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $4 704,80 ;31/10/2024;
2601825;;;;PRCTA_G1I38;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;30058;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $9 940,19 ;30/11/2024;
2606917;;;;PRCTA_G1M01;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;29977;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $3 680,10 ;31/10/2024;
2609948;;;;PRCTA_G1M88;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;30060;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $5 067,18 ;30/11/2024;
2646089;;;;PRCTA_G1I37;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;30250;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $7 656,74 ;01/01/2025;
2606924;;;;PRCTA_G1I72;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;30880;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $14 734,57 ;01/01/2025;
2628146;;;;PRCTA_G1I79;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;30247;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $23 936,72 ;30/11/2024;
2601778;;;;PRCTA_G1I85;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;30253;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $16 196,45 ;01/02/2025;
2591588;;;;PRCTA_G1M02;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;30898;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $1 745,10 ;01/01/2025;
2606961;;;;PRCTA_G1M08;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;30918;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $13 046,32 ;01/01/2025;
2601744;;;;PRCTA_G1N93;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;30255;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $8 487,82 ;01/01/2025;
2619615;;;;PRCTA_G1I65;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;30443;SAM - CONCLUIDO;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $23 666,67 ;01/10/2024;
2625843;;;;PRCTA_G1I36;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;30221;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $8 737,22 ;01/09/2024;
2623438;;;;PRCTA_G1M06;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;30200;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $1 911,55 ;01/09/2024;
2646066;;;;PRCTA_G1I87;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;30900;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $1 713,53 ;01/01/2025;
2646710;;;;PRCTA_G1I65;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;30879;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $8 780,28 ;01/01/2025;
2641739;;;;PRCTA_G1M11;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;30709;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $20 575,15 ;01/12/2024;
2641763;;;;PRCTA_G1M05;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;30705;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $16 865,49 ;31/12/2024;
2646627;;;;PRCTA_G1M88;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31146;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $5 800,20 ;01/02/2025;
2646628;;;;PRCTA_G1I74;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31168;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $7 520,04 ;01/02/2025;
2576653;;;;PRCTA_G1D23;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31171;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);ACÁCIA TELECOM;Atividade Concluida no campo ;Não se aplica; $5 549,19 ;01/02/2025;
2633863;;;;PRCTA_G1M16;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;30445;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $6 143,56 ;31/12/2024;
2623440;;;;PRSJP_O1A10;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;30223;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $7 516,12 ;30/11/2024;
2576636;;;;PRCTA_G1I36;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31170;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);ACÁCIA TELECOM;Atividade Concluida no campo ;Não se aplica; $5 749,41 ;01/02/2025;
2657391;;;;PRCTA_G1IM05;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31013;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $3 100,30 ;01/02/2025;
2657390;;;;PRCTA_G1I83;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31096;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $23 885,03 ;01/01/2025;
2657388;;;;PRCTA_G1I81;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31010;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $12 014,12 ;01/03/2025;
2657387;;;;PRCTA_G1I69;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31009;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $6 253,38 ;01/02/2025;
2657386;;;;PRCTA_G1I36;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31014;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);AMX - ENGENHARIA;Atividade Concluida no campo ;Não se aplica; $17 289,40 ;01/02/2025;
2657385;;;;PRCTA_G1M01;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31015;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);AMX - ENGENHARIA;Atividade Concluida no campo ;Não se aplica; $5 830,45 ;01/02/2025;
2657384;;;;PRCTA_G1I67;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31016;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $13 430,58 ;01/03/2025;
2657382;;;;PRCTA_G1N96;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31019;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);AMX - ENGENHARIA;Atividade Concluida no campo ;Não se aplica; $14 440,10 ;01/02/2025;
2657380;;;;PRCTA_G1N95;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31020;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);AMX - ENGENHARIA;Atividade Concluida no campo ;Não se aplica; $2 015,49 ;01/02/2025;
2657379;;;;PRCTA_G1M91;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31021;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Miguel;Atividade Concluida no campo ;Não se aplica; $5 142,58 ;01/03/2025;
2657378;;;;PRCTA_G1M14;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31022;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);AMX - ENGENHARIA;Atividade Concluida no campo ;Não se aplica; $4 820,74 ;01/03/2025;
2657376;;;;PRCTA_G1M10;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31023;SAM - FATURADO ;53203 - PR - TLC - VIVO - OSP - CURITIBA (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $9 559,75 ;01/03/2025;
2657375;;;;PRCTA_G1I80;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31024;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);AMX - ENGENHARIA;Atividade Concluida no campo ;Não se aplica; $6 380,74 ;01/02/2025;
2641694;;;;PRFZR_O1A01;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;30702;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $4 507,27 ;31/12/2024;
2659557;;;;PRCTA_G1N97;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31111;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $1 804,11 ;01/02/2025;
2659555;;;;PRCTA_G1M03;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31081;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $7 537,48 ;01/01/2025;
2659553;;;;PRCTA_G1I92;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31058;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $3 360,35 ;01/01/2025;
2659550;;;;PRCTA_G1I72;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31059;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $1 830,52 ;01/01/2025;
2659546;;;;PRCTA_G1I65;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31072;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $6 367,69 ;01/01/2025;
2659544;;;;PRCTA_G1N94;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31112;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $5 379,96 ;01/02/2025;
2657392;;;;PRCTA_G1I38;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31045;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $14 447,28 ;01/01/2025;
2665699;;;;PRCTA_G1I39;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31147;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $5 119,25 ;01/02/2025;
2665705;;;;PRCTA_G1I38;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31198;SAM - FATURADO ;65852 - PR - TLO - VIVO - SUBCONTRATACOES (TLSV);JJV - TELECOM;Atividade Concluida no campo ;Não se aplica; $2 024,80 ;01/02/2025;
2665714;;;;PRCTA_G1I37;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31169;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $1 338,59 ;01/02/2025;
2665719;;;;PRCTA_G1I65;OSP Regional;Concluído;MANUTENÇÃO PREVENTIVA CTA;31165;SAM - FATURADO ;53208 - PR - TLO - VIVO - OSP OBRA - CURIT (CTA) - (TLSV);EQUIPE TLSV - Marcos;Atividade Concluida no campo ;Não se aplica; $1 044,42 ;01/02/2025;
